Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
18,16934,Cameron Artis-Payne,RB,4,CAR,TB,8,25,3,0,0,0,0,0,0,0,2.50
19,16668,Carlos Hyde,RB,4,SF,GB,8,20,3,0,1,1,2,0,0,0,2.20
20,11737,Cedric Peerman,RB,4,CIN,KC,0,0,0,0,0,0,0,0,0,0,0.00
21,16307,Charcandrick West,RB,4,KC,CIN,5,17,3,0,3,1,4,0,0,0,2.10
22,16609,Charles Sims,RB,4,TB,CAR,6,23,4,0,5,3,30,1,0,0,11.30
23,12239,Chris Ivory,RB,4,NYJ,MIA,29,166,6,1,2,0,0,0,0,0,22.60
24,6828,Chris Johnson,RB,4,ARI,LA,16,83,5,0,3,3,11,0,0,0,9.40
25,13735,Chris Polk,RB,4,HOU,ATL,3,27,9,1,4,3,23,0,0,0,11.00
26,15102,Chris Thompson,RB,4,WAS,PHI,6,53,9,0,3,2,24,0,0,0,7.70
27,15256,Christine Michael,RB,4,DAL,NO,1,-1,-1,0,0,0,0,0,0,0,-0.10
28,15498,Cierre Wood,RB,4,BUF,NYG,0,0,0,0,1,1,-6,0,0,0,-0.60
29,15020,CJ Anderson,RB,4,DEN,MIN,11,43,4,0,1,1,27,0,0,0,7.00
30,10949,CJ Spiller,RB,4,NO,DAL,2,10,5,0,5,5,99,1,0,0,16.90
31,17197,Corey Grant,RB,4,JAX,IND,0,0,0,0,0,0,0,0,0,0,0.00
32,16031,Damien Williams,RB,4,MIA,NYJ,0,0,0,0,1,1,1,0,0,0,0.10
33,12317,Danny Woodhead,RB,4,SD,CLE,8,54,7,0,4,4,84,0,0,0,13.80
34,11969,Darrel Young,FB,4,WAS,PHI,1,0,0,0,0,0,0,0,0,0,0.00
35,8066,Darren McFadden,RB,4,DAL,NO,10,31,3,0,0,0,0,0,0,0,3.10
36,6198,Darren Sproles,RB,4,PHI,WAS,4,17,4,0,3,0,0,0,0,0,1.70
37,16847,David Johnson,RB,4,ARI,LA,3,18,6,0,10,4,63,1,1,1,12.10
38,7580,DeAngelo Williams,RB,4,PIT,BAL,2,5,3,0,0,0,0,0,0,0,0.50
39,13124,DeMarco Murray,RB,4,PHI,WAS,8,36,5,0,2,2,12,0,0,0,4.80
40,15631,Derrick Coleman,FB,4,SEA,DET,0,0,0,0,0,0,0,0,0,0,0.00
41,16524,Devonta Freeman,RB,4,ATL,HOU,14,68,5,3,6,5,81,0,0,0,32.90
42,14385,Doug Martin,RB,4,TB,CAR,20,106,5,1,5,5,37,0,0,0,20.30
43,16144,Dri Archer,RB,4,PIT,BAL,0,0,0,0,0,0,0,0,0,0,0.00
44,16838,Duke Johnson,RB,4,CLE,SD,8,31,4,0,10,9,85,1,0,0,17.60
45,15138,Eddie Lacy,RB,4,GB,SF,18,90,5,0,3,1,3,0,0,0,9.30
46,15616,Fozzy Whittaker,RB,4,CAR,TB,0,0,0,0,2,1,10,0,0,0,1.00
47,5820,Frank Gore,RB,4,IND,JAX,17,53,3,0,7,5,34,0,1,1,6.70
48,5701,Fred Jackson,RB,4,SEA,DET,3,21,7,0,4,2,33,0,0,0,5.40
49,14916,Giovani Bernard,RB,4,CIN,KC,13,62,5,1,0,0,0,0,0,0,12.20
50,16127,Isaiah Crowell,RB,4,CLE,SD,12,63,5,0,3,3,62,0,0,0,12.50
1,16966,Aaron Ripkowski,FB,5,GB,LA,0,0,0,0,0,0,0,0,0,0,0.00
2,16189,Alfred Blue,RB,5,HOU,IND,6,22,4,0,1,1,11,0,0,0,3.30
3,14269,Alfred Morris,RB,5,WAS,ATL,8,15,2,0,0,0,0,0,0,0,1.50
4,17234,Alonzo Harris,RB,5,GB,LA,0,0,0,0,0,0,0,0,0,0,0.00
5,16815,Ameer Abdullah,RB,5,DET,ARI,6,16,3,0,2,1,9,0,2,1,0.50
6,15224,Andre Ellington,RB,5,ARI,DET,3,63,21,1,0,0,0,0,0,0,12.30
7,16402,Andre Williams,RB,5,NYG,SF,3,0,0,0,0,0,0,0,0,0,0.00
8,12285,Anthony Dixon,RB,5,BUF,TEN,7,19,3,0,3,3,20,0,0,0,3.90
